BACIA;RIO;ESTADO;MUNICIPIO;RESPONSAVEL;OPERADORA;OPERADORA_UNIDADE;ROTEIRO;TIPOESTACAO;CODIGO;NOME;LATITUDE;LONGITUDE;AREADRENAGEM;OPERANDO;TEM_DADOS;TIPOESTACAOESCALA;TIPOESTACAOREGISTRADORNIVEL;TIPOESTACAODESCLIQUIDA;TIPOESTACAOSEDIMENTOS;TIPOESTACAOQUALAGUA;TIPOESTACAOTELEMETRICA;TIPOESTACAOPLUVIOMETRO;TIPOESTACAOREGISTRADORCHUVA;TIPOESTACAOTANQUEEVAPO;TIPOESTACAOCLIMATOLOGICA;TIPOREDEBASICA;TIPOREDEENERGETICA;TIPOREDENAVEGACAO;TIPOREDECURSODAGUA;TIPOREDEESTRATEGICA;TIPOREDECAPTACAO;TIPOREDESEDIMENTOS;TIPOREDEQUALAGUA;TIPOREDECLASSEVAZAO;PERIODOESCALAINICIO;PERIODOREGISTRADORNIVELINICIO;PERIODODESCLIQUIDAINICIO;PERIODOSEDIMENTOSINICIO;PERIODOQUALAGUAINICIO;PERIODOPLUVIOMETROINICIO;PERIODOREGISTRADORCHUVAINICIO;PERIODOTANQUEEVAPOINICIO;PERIODOCLIMATOLOGICAINICIO;PERIODOTELEMETRICAINICIO;Baixar Dados;Baixar MDB (Convencional);Baixar TXT (Convencional);Baixar CSV (Convencional);x;y
1 - RIO AMAZONAS;;MT;APIACÁS;TELES PIRES;TELES PIRES;;1;Pluviométrica;857001;UHE TELES PIRES RIO TELES PIRES JUSANTE 2;-88.594;-574.192;;Sim;Não;Não;Não;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não;Não;;Não;Não;Não;;;;;;30/09/2013;30/09/2013;;;;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=857001;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=857001;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=857001;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=857001;-5.741.919.999.999.990;-8.859.399.999.999.930
2 - RIO TOCANTINS;;MT;VILA RICA;ANA;CPRM;CPRM-GO;17;Pluviométrica;951000;VILA RICA;-100.189;-511.228;;Sim;Não;Não;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não;Não;Não;;Não;Não;Não;;;;;;30/11/1983;;;;30/06/2013;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=951000;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=951000;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=951000;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=951000;-51.122.799.999.999.900;-10.018.899.999.999.900
1 - RIO AMAZONAS;;MT;GUARANTÃ DO NORTE;ANA;CPRM;CPRM-GO;23;Pluviométrica;954001;CACHIMBO;-98.186;-548.864;;Sim;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Sim;Não;Não;Não;Não;;Não;Não;Não;;;;;;30/09/1984;;;;;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=954001;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=954001;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=954001;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=954001;-5.488.639.999.999.990;-9.818.599.999.999.940
1 - RIO AMAZONAS;;MT;GUARANTÃ DO NORTE;ANA;CPRM;CPRM-GO;23;Pluviométrica;954002;GUARANTA DO NORTE;-99.756;-549.042;;Sim;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Sim;Não;Não;Não;Não;;Não;Não;Não;;;;;;30/09/2004;;;;;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=954002;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=954002;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=954002;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=954002;-54.904.199.999.999.900;-9.975.599.999.999.920
1 - RIO AMAZONAS;;MT;GUARANTÃ DO NORTE;ELETRAM;ELETRAM;;;Pluviométrica;954004;PCH BRAÇO NORTE II BARRAMENTO;-97.789;-549.867;;Sim;Não;Não;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;;Não;Não;Não;;;;;;31/01/2015;;;;31/01/2015;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=954004;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=954004;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=954004;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=954004;-54.986.699.999.999.900;-9.778.899.999.999.960
1 - RIO AMAZONAS;;MT;GUARANTÃ DO NORTE;NOVO MUNDO;NOVO MUNDO;;;Pluviométrica;954005;PCH BRAÇO NORTE IV BARAMENTO;-96.836;-549.633;;Sim;Não;Não;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;;Não;Não;Não;;;;;;31/03/2015;;;;31/03/2015;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=954005;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=954005;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=954005;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=954005;-5.496.329.999.999.990;-9.683.599.999.999.950
1 - RIO AMAZONAS;;MT;GUARANTÃ DO NORTE;GUARANTÃ;GUARANTÃ;;1;Pluviométrica;954006;PCH BRAÇO NORTE III BARRAMENTO;-96.314;-549.739;;Sim;Não;Não;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;;Não;Não;Não;;;;;;30/04/2015;;;;30/04/2015;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=954006;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=954006;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=954006;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=954006;-5.497.389.999.999.990;-9.631.399.999.999.920
1 - RIO AMAZONAS;;MT;GUARANTÃ DO NORTE;GUARANTÃ;GUARANTÃ;;1;Pluviométrica;954008;PCH BRAÇO NORTE III CÓRREGO QUINZE DE NOVEMBRO;-9.66;-549.392;197;Sim;Não;Não;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;;Não;Não;Não;;;;;;31/03/2015;;;;31/03/2015;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=954008;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=954008;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=954008;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=954008;-5.493.919.999.999.990;-9.659.999.999.999.960
1 - RIO AMAZONAS;;MT;GUARANTÃ DO NORTE;PRIMAVERA;PRIMAVERA;;1;Pluviométrica;955000;PCH BRAÇO NORTE JUSANTE;-98.386;-550.192;;Sim;Não;Não;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;;Não;Não;Não;;;;;;31/01/2014;;;;31/01/2014;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=955000;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=955000;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=955000;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=955000;-55.019.199.999.999.900;-9.838.599.999.999.920
1 - RIO AMAZONAS;;MT;CARLINDA;TELES PIRES;TELES PIRES;;1;Pluviométrica;955001;UHE TELES PIRES MONTANTE 2;-99.506;-555.764;;Sim;Não;Não;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;;Não;Não;Não;;;;;;28/02/2021;;;;28/02/2021;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=955001;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=955001;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=955001;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=955001;-5.557.639.999.999.990;-9.950.599.999.999.950
1 - RIO AMAZONAS;;MT;ALTA FLORESTA;ANA;CPRM;CPRM-GO;23;Pluviométrica;956000;ALTA FLORESTA;-98.703;-561.022;;Sim;Não;Não;Não;Não;Não;Não;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Não;;Não;Não;Não;;;;;;31/01/1978;31/01/1978;31/01/1978;;31/08/2010;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=956000;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=956000;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=956000;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=956000;-5.610.219.999.999.990;-987.029.999.999.993
1 - RIO AMAZONAS;;MT;ALTA FLORESTA;ANA;CPRM;CPRM-GO;23;Pluviométrica;956001;JUSANTE FOZ PEIXOTO DE AZEVEDO;-96.433;-560.186;;Sim;Não;Não;Não;Não;Não;Não;Não;Sim;Sim;Não;Não;Sim;Não;Não;Não;Não;;Não;Não;Não;;;;;;31/08/1980;31/08/1980;;;31/10/2001;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=956001;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=956001;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=956001;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=956001;-56.018.599.999.999.900;-9.643.299.999.999.950
1 - RIO AMAZONAS;;MT;PARANAITA;ANA;CPRM;CPRM-GO;23;Pluviométrica;956002;PARANAITA;-96.939;-564.742;;Sim;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Sim;Não;Não;Não;Não;;Não;Não;Não;;;;;;30/09/1999;;;;;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=956002;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=956002;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=956002;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=956002;-5.647.419.999.999.990;-9.693.899.999.999.920
1 - RIO AMAZONAS;;MT;ALTA FLORESTA;TELES PIRES;TELES PIRES;;1;Pluviométrica;956003;UHE TELES PIRES MONTANTE 1;-96.406;-560.192;;Sim;Não;Não;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;;Não;Não;Não;;;;;;31/03/2013;;;;31/03/2013;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=956003;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=956003;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=956003;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=956003;-56.019.199.999.999.900;-964.059.999.999.995
1 - RIO AMAZONAS;;MT;PARANAITA;TELES PIRES;TELES PIRES;;1;Pluviométrica;956006;UHE TELES PIRES BARRAMENTO;-93.506;-567.806;;Sim;Não;Não;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;;Não;Não;Não;;;;;;31/01/2021;;;;31/01/2021;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=956006;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=956006;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=956006;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=956006;-56.780.599.999.999.900;-9.350.599.999.999.920
1 - RIO AMAZONAS;;MT;PARANAITA;TELES PIRES;TELES PIRES;;1;Pluviométrica;956007;UHE TELES PIRES RIO PARANAITA;-99.256;-566.353;;Sim;Não;Não;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;;Não;Não;Não;;;;;;31/01/2021;;;;31/01/2021;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=956007;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=956007;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=956007;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=956007;-5.663.529.999.999.990;-9.925.599.999.999.970
1 - RIO AMAZONAS;;MT;APIACÁS;ANA;CPRM;CPRM-GO;21;Pluviométrica;957001;NOVO PLANETA;-95.664;-573.947;;Sim;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Sim;Não;Não;Não;Não;;Não;Não;Não;;;;;;28/02/1982;;;;;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=957001;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=957001;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=957001;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=957001;-5.739.469.999.999.990;-956.639.999.999.993
1 - RIO AMAZONAS;;MT;NOVA MONTE VERDE;ANA;CPRM;CPRM-GO;21;Pluviométrica;957002;NOVA MONTE VERDE;-99.769;-574.739;;Sim;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Sim;Não;Não;Não;Não;;Não;Não;Não;;;;;;30/04/2000;;;;;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=957002;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=957002;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=957002;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=957002;-5.747.389.999.999.990;-9.976.899.999.999.940
