BACIA;RIO;ESTADO;MUNICIPIO;RESPONSAVEL;OPERADORA;OPERADORA_UNIDADE;ROTEIRO;TIPOESTACAO;CODIGO;NOME;LATITUDE;LONGITUDE;AREADRENAGEM;OPERANDO;TIPOESTACAOESCALA;TIPOESTACAOREGISTRADORNIVEL;TIPOESTACAODESCLIQUIDA;TIPOESTACAOSEDIMENTOS;TIPOESTACAOQUALAGUA;TIPOESTACAOTELEMETRICA;TIPOESTACAOPLUVIOMETRO;TIPOESTACAOREGISTRADORCHUVA;TIPOESTACAOTANQUEEVAPO;TIPOESTACAOCLIMATOLOGICA;TIPOREDEBASICA;TIPOREDEENERGETICA;TIPOREDENAVEGACAO;TIPOREDECURSODAGUA;TIPOREDEESTRATEGICA;TIPOREDECAPTACAO;TIPOREDESEDIMENTOS;TIPOREDEQUALAGUA;TIPOREDECLASSEVAZAO;PERIODOESCALAINICIO;PERIODOREGISTRADORNIVELINICIO;PERIODODESCLIQUIDAINICIO;PERIODOSEDIMENTOSINICIO;PERIODOQUALAGUAINICIO;PERIODOPLUVIOMETROINICIO;PERIODOREGISTRADORCHUVAINICIO;PERIODOTANQUEEVAPOINICIO;PERIODOCLIMATOLOGICAINICIO;PERIODOTELEMETRICAINICIO;Baixar Dados;Baixar MDB (Convencional);Baixar TXT (Convencional);Baixar CSV (Convencional);x;y
6 - RIO PARANÁ;RIO CUIABÁ;MT;VÁRZEA GRANDE;SEMA-MT;SEMA-MT;;;Fluviométrica;66259305;CUIABÁ;-15.6197;-56.0989;23600;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Não;;Não;;Não;;Não;;;;;31/12/1994;;;;;;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=66259305;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=66259305;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=66259305;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=66259305;-56.09889999999996;-15.619699999999966
6 - RIO PARANÁ;RIO CUIABÁ;MT;VÁRZEA GRANDE;SEMA-MT;SEMA-MT;;;Fluviométrica;66259301;CUIABÁ;-15.6369;-56.08;23600;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Não;;Não;;Não;;Não;;;;;31/12/1994;;;;;;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=66259301;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=66259301;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=66259301;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=66259301;-56.079999999999984;-15.636899999999969
6 - RIO PARANÁ;RIBEIRÃO BELEZA;MT;JUSCIMEIRA;PCH BELEZA;PCH BELEZA;;1;Fluviométrica;66222400;PCH BELEZA BARRAMENTO;-16.1836;-55.0144;96;Sim;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Não;;Não;;Não;Não;Não;31/12/2021;;;;;;;;;31/12/2021;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=66222400;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=66222400;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=66222400;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=66222400;-55.014399999999966;-16.183599999999956
6 - RIO PARANÁ;RIBEIRÃO BELEZA;MT;JUSCIMEIRA;PCH BELEZA;PCH BELEZA;;1;Fluviométrica;66222100;PCH BELEZA MONTANTE;-16.1956;-55.0361;67;Sim;Sim;Não;Sim;Sim;Não;Sim;Não;Não;Não;Não;Não;Sim;Não;;Não;;Não;Não;Sim;30/6/2021;;30/6/2021;30/6/2021;;;;;;30/6/2021;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=66222100;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=66222100;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=66222100;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=66222100;-55.036099999999976;-16.195599999999956
6 - RIO PARANÁ;CÓRREGO SAIA BRANCA;MT;JACIARA;SUCUPIRA;SUCUPIRA;;1;Fluviométrica;66385000;CGH SUCUPIRA RESERVATÓRIO;-15.9925;-55.0881;356;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Sim;Não;;Não;;Não;;Não;;;;;31/8/2015;;;;;;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=66385000;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=66385000;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=66385000;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=66385000;-55.08809999999994;-15.99249999999995
6 - RIO PARANÁ;CÓRREGO SAIA BRANCA;MT;JACIARA;PEQUI;PEQUI;;1;Fluviométrica;66384000;PCH PEQUI JUSANTE;-15.9964;-55.0961;327;Sim;Sim;Não;Sim;Sim;Não;Sim;Não;Não;Não;Não;Não;Sim;Não;;Não;;Não;Não;Sim;31/12/2011;;30/9/2011;30/9/2011;;;;;;31/12/2011;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=66384000;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=66384000;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=66384000;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=66384000;-55.09609999999998;-15.996399999999937
6 - RIO PARANÁ;RIO VERMELHO;MT;POXORÉO;ANA;CPRM;CPRM-GO;18;Fluviométrica;66430000;JARUDORE;-16.1969;-54.3003;3780;Sim;Sim;Não;Sim;Não;Sim;Não;Não;Não;Não;Não;Sim;Não;Não;;Não;;Não;;Sim;30/9/1987;;30/9/1987;;31/8/2002;;;;;;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=66430000;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=66430000;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=66430000;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=66430000;-54.300299999999936;-16.19689999999997
6 - RIO PARANÁ;RIO VERMELHO;MT;POXORÉO;SEMA-MT;SEMA-MT;;;Fluviométrica;66430001;POXORÉO;-16.1969;-54.3003;3780;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Não;;Não;;Não;;Não;;;;;31/12/2015;;;;;;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=66430001;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=66430001;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=66430001;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=66430001;-54.300299999999936;-16.19689999999997
6 - RIO PARANÁ;RIO VERMELHO;MT;RONDONÓPOLIS;ANA;CPRM;CPRM-GO;18;Fluviométrica;66450001;RONDONÓPOLIS;-16.4789;-54.6506;12300;Sim;Sim;Não;Sim;Sim;Sim;Sim;Não;Não;Não;Não;Sim;Não;Não;;Não;;Sim;;Sim;31/10/1965;;31/10/1965;31/12/1999;31/12/1999;;;;;30/6/2021;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=66450001;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=66450001;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=66450001;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=66450001;-54.65059999999994;-16.478899999999953
6 - RIO PARANÁ;RIO VERMELHO;MT;RONDONÓPOLIS;SEMA-MT;SEMA-MT;;;Fluviométrica;66449000;RONDONÓPOLIS;-16.4683;-54.9697;15000;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;Não;;Não;;Não;;Sim;;;31/5/2002;31/5/2002;31/5/2002;;;;;;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=66449000;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=66449000;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=66449000;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=66449000;-54.96969999999993;-16.468299999999942
