BACIA;RIO;ESTADO;MUNICIPIO;RESPONSAVEL;OPERADORA;OPERADORA_UNIDADE;ROTEIRO;TIPOESTACAO;CODIGO;NOME;LATITUDE;LONGITUDE;AREADRENAGEM;OPERANDO;TIPOESTACAOESCALA;TIPOESTACAOREGISTRADORNIVEL;TIPOESTACAODESCLIQUIDA;TIPOESTACAOSEDIMENTOS;TIPOESTACAOQUALAGUA;TIPOESTACAOTELEMETRICA;TIPOESTACAOPLUVIOMETRO;TIPOESTACAOREGISTRADORCHUVA;TIPOESTACAOTANQUEEVAPO;TIPOESTACAOCLIMATOLOGICA;TIPOREDEBASICA;TIPOREDEENERGETICA;TIPOREDENAVEGACAO;TIPOREDECURSODAGUA;TIPOREDEESTRATEGICA;TIPOREDECAPTACAO;TIPOREDESEDIMENTOS;TIPOREDEQUALAGUA;TIPOREDECLASSEVAZAO;PERIODOESCALAINICIO;PERIODOREGISTRADORNIVELINICIO;PERIODODESCLIQUIDAINICIO;PERIODOSEDIMENTOSINICIO;PERIODOQUALAGUAINICIO;PERIODOPLUVIOMETROINICIO;PERIODOREGISTRADORCHUVAINICIO;PERIODOTANQUEEVAPOINICIO;PERIODOCLIMATOLOGICAINICIO;PERIODOTELEMETRICAINICIO;Baixar Dados;Baixar MDB (Convencional);Baixar TXT (Convencional);Baixar CSV (Convencional);x;y
6 - RIO PARANÁ;;MT;DIAMANTINO;INMET;INMET;;;Pluviométrica;1456005;DIAMANTINO;-14.4058;-56.4464;;Sim;Não;Não;Não;Não;Não;Não;Sim;Sim;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;;;;;;31/12/1931;31/12/1931;31/7/1976;31/12/1931;;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=1456005;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=1456005;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=1456005;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=1456005;-56.44639999999998;-14.405799999999942
6 - RIO PARANÁ;;MT;DIAMANTINO;ANA;CPRM;CPRM-GO;22;Pluviométrica;1456009;PARECIS (BR-364);-14.1564;-56.9331;;Sim;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Sim;Não;Não;Não;Não;;Não;Não;Não;;;;;;31/3/1970;;;;;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=1456009;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=1456009;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=1456009;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=1456009;-56.93309999999997;-14.156399999999962
6 - RIO PARANÁ;;MT;GUIRATINGA;ANA;CPRM;CPRM-GO;18;Pluviométrica;1654005;VALE RICO;-16.3911;-54.1494;;Sim;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Sim;Não;Não;Não;Não;;Não;Não;Não;;;;;;31/12/1983;;;;;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=1654005;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=1654005;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=1654005;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=1654005;-54.14939999999996;-16.391099999999938
6 - RIO PARANÁ;;MT;INDIAVAÍ;ANA;CPRM;CPRM-GO;20;Pluviométrica;1558004;ALTO JAURÚ;-15.44;-58.5878;;Sim;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Sim;Não;Não;Não;Não;;Não;Não;Não;;;;;;30/11/1964;;;;;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=1558004;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=1558004;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=1558004;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=1558004;-58.58779999999996;-15.43999999999994
6 - RIO PARANÁ;;MT;INDIAVAÍ;SAJESA;SAJESA;;1;Pluviométrica;1558010;PCH SALTO JUSANTE;-15.2917;-58.7075;;Sim;Não;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;;Não;Não;Não;;;;;;31/3/2012;;;;31/3/2012;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=1558010;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=1558010;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=1558010;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=1558010;-58.70749999999998;-15.291699999999935
6 - RIO PARANÁ;;MT;INDIAVAÍ;FIGUEIRÓPOLIS;FIGUEIRÓPOLIS;;1;Pluviométrica;1558009;PCH FIGUEIRÓPOLIS BARRAMENTO;-15.3922;-58.6375;;Sim;Não;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;;Não;Não;Não;;;;;;29/2/2012;;;;29/2/2012;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=1558009;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=1558009;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=1558009;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=1558009;-58.63749999999993;-15.392199999999946
6 - RIO PARANÁ;;MT;ITIQUIRA;ANA;CPRM;CPRM-GO;16;Pluviométrica;1755000;SANTO ANTÔNIO DO PARAÍSO;-17.4917;-55.2322;;Sim;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Sim;Não;Não;Não;Não;;Não;Não;Não;;;;;;28/2/1969;;;;;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=1755000;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=1755000;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=1755000;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=1755000;-55.23219999999998;-17.49169999999998
6 - RIO PARANÁ;;MT;ITIQUIRA;ANA;CPRM;CPRM-GO;18;Pluviométrica;1754000;ITIQUIRA;-17.2078;-54.14;;Sim;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Sim;Não;Não;Não;Não;;Não;Não;Não;;;;;;31/10/1965;;;;;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=1754000;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=1754000;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=1754000;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=1754000;-54.139999999999986;-17.207799999999963
6 - RIO PARANÁ;;MT;ITIQUIRA;ENGIE;ENGIE;;;Pluviométrica;1754015;UHE PONTE DE PEDRA JUSANTE;-17.61;-54.9389;;Sim;Não;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;;Não;Não;Não;;;;;;31/7/2015;;;;31/7/2015;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=1754015;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=1754015;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=1754015;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=1754015;-54.93889999999993;-17.609999999999957
6 - RIO PARANÁ;;MT;ITIQUIRA;ENGIE;ENGIE;;;Pluviométrica;1754009;UHE PONTE DE PEDRA BARRAMENTO;-17.6075;-54.8272;;Sim;Não;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;;Não;Não;Não;;;;;;30/6/2005;;;;31/7/2015;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=1754009;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=1754009;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=1754009;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=1754009;-54.82719999999995;-17.60749999999996
